providedName,finalName,geo_informed
Andrena californica,Andrena fuscicauda,FALSE
Andrena campanulae,Andrena geranii,FALSE
Andrena carliniformis,Andrena pertristis,FALSE
Andrena carrikeri,Andrena macoupinensis,FALSE
Andrena chippewaensis,Andrena wheeleri,FALSE
Andrena chlorinella,Andrena candida,FALSE
Andrena claremonti,Andrena chlorura,FALSE
Andrena claytoniae,Andrena imitatrix,FALSE
Andrena clypeonitens,Andrena chromotricha,FALSE
Andrena clypeoporaria,Andrena thaspii,FALSE
Andrena cockerelli,Andrena frigida,FALSE
Andrena colletoides,Andrena pecosana,FALSE
Andrena coloradina,Andrena w-scripta,FALSE
Andrena compacta,Andrena ceanothi,FALSE
Andrena complicata,Andrena chlorura,FALSE
Andrena convallaria,Andrena oenotherae,FALSE
Andrena corrugata,Andrena sigmundi,FALSE
Andrena cyanura,Andrena transnigra,FALSE
Andrena davisi,Andrena violae,FALSE
Andrena decussatula,Andrena nigrihirta,FALSE
Andrena delta,Andrena thaspii,FALSE
Andrena determinata,Andrena simplex,FALSE
Andrena dolichotricha,Andrena striatifrons,FALSE
Andrena dreisbachi,Andrena robertsonii,FALSE
Andrena enceliae,Megandrena enceliae,FALSE
Andrena enceliarum,Andrena linsleyi,FALSE
Andrena enigmatica,Andrena tridens,FALSE
Andrena errans,Andrena nivalis,FALSE
Andrena fragariana,Andrena melanochroa,FALSE
Andrena francisca,Andrena caerulea,FALSE
Andrena friesei,Andrena angustitarsata,FALSE
Andrena fulvihirta,Andrena vierecki,FALSE
Andrena fulvinigra,Andrena merriami,FALSE
Andrena fuscipennis,Andrena scotoptera,FALSE
Andrena fuscisignata,Andrena algida,FALSE
Andrena gabrielsoni,Andrena thaspii,FALSE
Andrena graenicheri,Andrena helianthi,FALSE
Andrena grandior,Andrena miranda,FALSE
Andrena haroldi,Andrena cercocarpi,FALSE
Andrena harveyi,Andrena rufosignata,FALSE
Andrena indotata,Andrena thaspii,FALSE
Andrena irana,Andrena nigerrima,FALSE
Andrena johnsoniana,Andrena imitatrix,FALSE
Andrena kansensis,Andrena cressonii,FALSE
Andrena kincaidii,Andrena prunorum,FALSE
Andrena lata,Andrena w-scripta,FALSE
Andrena leptanthi,Andrena porterae,FALSE
Andrena limnanthis,Andrena pulverea,FALSE
Andrena littlefieldi,Andrena w-scripta,FALSE
Andrena longifacies,Andrena carolina,FALSE
Andrena longihirtiscopa,Andrena nigrihirta,FALSE
Andrena lummiorum,Andrena hemileuca,FALSE
Andrena lutzi,Andrena cleodora,FALSE
Andrena macgillivrayi,Andrena barbilabris,FALSE
Andrena macrocephala,Andrena nigripes,FALSE
Andrena marioides,Andrena striatifrons,FALSE
Andrena maura,Andrena caliginosa,FALSE
Andrena mellitarsis,Andrena medionitens,FALSE
Andrena mendosa,Andrena concinnula,FALSE
Andrena metea,Andrena nigerrima,FALSE
Andrena microsoma,Andrena trizonata,FALSE
Andrena mimetica,Andrena cerasifolii,FALSE
Andrena moesticolor,Andrena birtwelli,FALSE
Andrena monroensis,Andrena platyparia,FALSE
Andrena montensis,Andrena spiraeana,FALSE
Andrena montrosensis,Andrena scurra,FALSE
Andrena multiplicata,Andrena miranda,FALSE
