scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Andrena cragini,39.838,-95.4635,12,510137479186.306,51013747.91863061,TRUE,158.66666666666666,157,135,175.79999999999998,40.79999999999998
Andrena crataegi,41.923,-82.837,1580,9720384404606.422,972038440.4606422,TRUE,153.86655260906753,156,124,183.20000000000005,59.200000000000045
Andrena crawfordi,30.571,-97.031,39,1697801757215.507,169780175.7215507,TRUE,116.44117647058823,114.5,101,138.7,37.69999999999999
Andrena cressonii,40.059,-83.6585,1610,8462037652130.33,846203765.2130331,TRUE,133.0329754601227,130,100.30000000000001,165.70000000000005,65.40000000000003
Andrena crinita,35.354,-111.7345,6,856711827.5337448,85671.18275337448,TRUE,182,177,172.2,193.8,21.600000000000023
Andrena cristata,37.822,-116.5495,122,3742463309351.319,374246330.9351319,TRUE,115.66336633663366,120,59,162,103
Andrena cruciferarum,35.968,-119.1625,28,902298605508.3364,90229860.55083364,TRUE,100.68181818181819,83,65.2,143.70000000000002,78.50000000000001
Andrena crudeni,37.1435,-119.834,46,107921790976.64978,10792179.097664978,TRUE,103.28205128205128,104,63.8,137,73.2
Andrena cryptanthae,33.956,-117.372,105,245918306307.61365,24591830.630761366,TRUE,110.92156862745098,105,74.2,160.30000000000004,86.10000000000004
Andrena cuneilabris,37.872,-122.13300000000001,86,449059777862.82654,44905977.78628266,TRUE,96.94117647058823,91.5,60.7,135.60000000000002,74.90000000000002
Andrena cupreotincta,39.667,-119.811,167,1925648360705.5647,192564836.0705565,TRUE,163.08843537414967,169,122.60000000000001,189.20000000000002,66.60000000000001
Andrena cyanophila,38.935,-111.313,203,2354153126820.839,235415312.6820839,TRUE,187.5487804878049,190,167,211,44
Andrena cyanosoma,33.794,-117.356,18,123294014801.19275,12329401.480119275,TRUE,114.4,105,87.2,115.8,28.599999999999994
Andrena cymatilis,38.545,-121.761,10,65095326707.43219,6509532.67074322,TRUE,106.16666666666667,99,91,128.5,37.5
Andrena daeckei,40.01,-74.984,9,275278876824.41266,27527887.682441268,TRUE,119,134,52.59999999999999,167.39999999999998,114.79999999999998
Andrena dapsilis,34.369,-100.477,9,210242617226.3954,21024261.72263954,TRUE,95.125,99,84.9,103.30000000000001,18.400000000000006
Andrena davidsoni,34.224,-118.061,1,7256818559.884399,725681.85598844,TRUE,NA,NA,NA,NA,NA
Andrena declinis,34.956,-115.709,3,77536367063.3587,7753636.706335871,TRUE,91.5,91.5,63.1,119.89999999999999,56.79999999999999
Andrena decolorata,33.841,-116.7055,6,100246123329.82996,10024612.332982996,TRUE,121.6,108,99.2,156.79999999999998,57.59999999999998
Andrena deserticola,35.647,-117.812,9,49063182322.155914,4906318.232215592,TRUE,112.22222222222223,112,102.6,120.79999999999998,18.19999999999999
Andrena dimorpha,29.675,-81.3655,12,1116283684125.226,111628368.41252261,TRUE,76.5,76,65,88.5,23.5
Andrena dissimulans,35.469,-119.061,26,98767960587.90942,9876796.058790943,TRUE,92.72,91,66.2,119,52.8
Andrena dissona,37.6495,-121.06,2,8621843153.31369,862184.315331369,TRUE,102.5,102.5,78.9,126.1,47.19999999999999
Andrena distans,41.791,-79.977,163,2393351363703.662,239335136.37036622,TRUE,145.22916666666666,145,121.5,166.5,45
Andrena dolomellea,30.628,-96.317,23,65135369291.24191,6513536.929124191,TRUE,118.23809523809524,110,98,119,21
Andrena duboisi,37.923,-121.736,21,99172298846.32544,9917229.884632545,TRUE,115.33333333333333,111,82,140,58
Andrena dunningi,43.51,-76.51,553,3481190487501.5776,348119048.7501578,TRUE,126.7855626326964,124,105,152,47
Andrena duplicata,35.683,-82.4,13,628661164151.341,62866116.415134095,TRUE,251.72727272727272,244,178,316,138
Andrena durangoensis,40.781499999999994,-107.143,4,6233203115201.62,623320311.520162,TRUE,148,139,139,160.60000000000002,21.600000000000023
Andrena edwardsi,39.227,-119.701,85,820957101015.4808,82095710.10154809,TRUE,169.97297297297297,174,151.3,186.70000000000002,35.400000000000006
Andrena ellisiae,40.072,-105.285,1,3506100392.979782,350610.0392979782,TRUE,142,142,142,142,0
Andrena eothina,35.483000000000004,-119.321,8,25758061619.667297,2575806.16196673,TRUE,75.66666666666667,70.5,66.5,90,23.5
Andrena eremophila,35.055,-118.172,3,2800863558.0468597,280086.35580468597,TRUE,103.33333333333333,101,100.19999999999999,107.39999999999999,7.200000000000003
Andrena erigeniae,39.094,-77.263,1155,2826746940492.7153,282674694.0492715,TRUE,113.65934065934066,114,89,138.89999999999998,49.89999999999998
Andrena erythrogaster,40.78,-88.513,429,6812975217639.278,681297521.7639278,TRUE,131.87209302325581,128,106.30000000000001,161,54.69999999999999
Andrena erythronii,40.086,-87.535,162,2587133418848.4404,258713341.88484406,TRUE,111.67213114754098,109,89,141.8,52.80000000000001
Andrena escondida,37.272,-119.83,13,63937836432.10956,6393783.643210956,TRUE,103.53846153846153,110,65,118.4,53.400000000000006
Andrena evoluta,40.655,-116.273,27,1045524670244.5222,104552467.02445222,TRUE,159.42857142857142,159,130,186,56
Andrena faceta,27.880499999999998,-98.15299999999999,8,316431267345.7387,31643126.73457387,TRUE,84.125,85.5,79.7,87.3,7.599999999999994
Andrena fenningeri,38.9705,-77.266,96,1440311982083.584,144031198.2083584,TRUE,97.42666666666666,95,72,120,48
Andrena ferrugineipes,33.956,-117.395,17,354363637372.3821,35436363.73723821,TRUE,105.21428571428571,91,62.3,174.2,111.89999999999999
Andrena flaminea,26.301,-98.163,1,2705334319.0013447,270533.4319001345,TRUE,NA,NA,NA,NA,NA
Andrena flandersi,34.921,-117.615,25,39515224393.439896,3951522.43934399,TRUE,105.20833333333333,102,86.1,127.4,41.30000000000001
Andrena flexa,30.628,-96.293,20,299080149680.3434,29908014.96803434,TRUE,89.6470588235294,80,72,124.00000000000001,52.000000000000014
Andrena flocculosa,18.974,-99.083,9,161072471421.75256,16107247.142175257,TRUE,252.22222222222223,281,137.79999999999998,324.6,186.80000000000004
Andrena forbesii,40.697,-87.532,855,8852810198681.293,885281019.8681294,TRUE,130.2558869701727,128,101,164.39999999999998,63.39999999999998
Andrena foxii,35.193,-118.7145,10,22886607666.6539,2288660.76666539,TRUE,80.14285714285714,90,50.2,102.20000000000002,52.000000000000014
