scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Bombus mixtus,6979.0632535003,541.012384074057,0.0754405007373306,-0.21379967250679,0.105558121667528,0.265311285344547,137,20.3390350697713,52,7.81651765704984,1410
Bombus morrisoni,3609.8242869994,526.768922267356,0.123587001548568,0.0912511398230021,-0.142889043670874,0.29399569221702,65,19.1132831277039,23,5.69230279797032,846
Bombus nevadensis,4335.225137,528.178390022267,0.0213234117893765,-0.143435038924337,0.149980218663684,0.44857917814061,80,20.2698157094292,27,5.11388976662303,476
Bombus occidentalis,6432.0615162997,513.768948089645,0.178419004127558,-0.0760090475981383,0.00325928345579496,0.451381580581259,133,8.92814053762042,41,3.78936284042562,1336
Bombus pensylvanicus,10490.8994108995,520.222208164165,0.252901275467222,0.0513912349539736,-0.229573780246681,0.231503868998994,224,36.9897340897689,71,5.72441102427574,1958
Bombus perplexus,6895.42989299999,536.974736514174,0.201577006884409,-0.193035634461006,-0.125690105792853,0.166266648124687,130,39.4187954066088,44,9.17571327259833,580
Bombus rufocinctus,6139.5266583,515.731206761531,0.309874265947107,-0.0879432491420508,-0.236082900843324,0.280430675624623,140,32.611521385065,39,3.9167312005445,1209
Bombus sandersoni,1867.733678,496.863742580274,-0.00460026383042909,-0.281541234508908,0.207862434822148,-0.18601077992231,21,7.88920056100982,11,2.90697674418605,75
Bombus sitkensis,3705.96243864,513.191731393176,-0.00143530691672639,-0.0691440843621106,0.19058879007809,0.0776119884827265,53,4.61311302513622,25,4.10190684588934,324
Bombus sonorus,4760.4199520003,518.054822489752,0.0738980244407936,0.125114616450843,-0.262905453967128,0.201635880634827,84,18.4980642222728,35,5.09343450178717,285
Bombus sylvicola,3555.641225,526.103583806807,0.205811782586698,-0.162400413162861,-0.153139800824358,0.281144726295131,55,17.5898996545484,27,5.35166787617928,654
Bombus ternarius,7774.19664930029,499.449787917407,0.418912039798266,-0.175259123003622,-0.351011941211837,0.108268748809449,153,16.2910693480573,53,3.03219328226281,1604
Bombus terricola,6949.558217,527.153095374174,0.388495029734097,-0.197572091215458,-0.221099308811582,0.246050302534962,124,23.6778930517502,47,5.313609263059,877
Bombus vagans,8841.17919550029,532.712381772016,0.225513472415091,-0.125378864004804,-0.125500425973184,0.274598611189606,183,35.2233571252769,56,7.74156467644872,1070
Bombus vancouverensis,4914.438155,535.998748365827,0.112228669660094,-0.156398179382163,-0.289943082517381,0.0899084382049782,88,40.7316017316017,33,6.13941854563909,291
Bombus vandykei,2672.910112,524.731143785876,-0.0437937017450577,-0.0757589017590873,0.117354869396308,0.10045558538722,34,8.72727272727273,19,7.38461538461539,96
Bombus variabilis,1733.989806,497.528918039166,0.470931324507674,0.0306276966143086,-0.296770934599489,0.211598483490512,30,19.9219858156028,11,3.11074197120709,53
Bombus vosnesenskii,12397.0601837403,544.519771471373,-0.0388146590796214,-0.040149795577895,0.164668545927385,0.366686416233296,292,27.4893345789055,72,7.81592156711949,3313
Brachymelecta californica,1428.1836330003,485.756746612373,0.074771234296867,0.168681776691048,-0.398594681519393,-0.0238269691279521,26,14.1245551601424,9,2.4790755777639,63
Brachymelecta interrupta,497.443951,452.517252007093,0.0217384755937113,0.0248696222461658,-0.338539254681594,-0.00988845239764048,2,2,2,2,2
Brachynomada margaretae,537.426237,433.715676656614,-0.0386192278579462,0.0154988602519806,-0.42446083322417,-0.0299264122725965,3,2.57894736842105,2,1.32432432432432,7
Brachynomada melanantha,390.70254,390.70254,0.0409875299714924,0.100175159268557,-0.435311785254588,-0.0167503333972515,1,1,1,1,4
Calliopsis andreniformis,4302.316003,518.66432278984,0.107683834843919,-0.0911634634602277,0.240979131311672,0.442937857067476,82,8.62921672272945,28,4.54150157643608,519
Calliopsis coloradensis,1367.649722,423.187230138207,0.137022554917274,0.112780660415931,-0.42843607077397,0.000715936646043886,19,2.87109905020353,9,1.28671328671329,92
Calliopsis empelia,507.513434,456.166406031202,-0.0480955005628547,0.0297253388888881,0.24499918143914,-0.235980991424442,2,1.92307692307692,2,1.92307692307692,5
Calliopsis hesperia,510.576774,452.392171050916,-0.044426038939029,0.077278211229483,0.32898416751358,-0.283896510072254,2,1.8,2,1.8,3
Calliopsis hondurasica,390.70254,390.70254,-0.0412417146018342,0.0234275806233304,0.219520746941908,-0.21417637437549,1,1,1,1,1
Calliopsis macswaini,390.7025400003,390.7025400003,-0.0619942791617542,0.0305160774700171,0.25975552969299,-0.290540736626633,1,1,1,1,1
Calliopsis micheneri,390.70254,390.70254,-0.0161877670549979,0.0260320231079939,0.219520746941908,-0.21417637437549,1,1,1,1,1
Calliopsis nebraskensis,497.443951,408.79253633355,0.0308434241734271,0.0252477096601193,0.1047231284683,-0.186769693944605,2,1.19328226281674,2,1.19328226281674,45
Calliopsis obscurella,522.38324,459.538481833608,-0.200460197755099,0.123743463567904,0.253726509770914,-0.281952167134538,2,1.8,2,1.8,6
Calliopsis philiphunteri,427.362812,394.513965955319,0.0103238881783725,0.12841761053653,-0.435311785254588,-0.0167503333972515,6,1.95129989015013,1,1,73
Calliopsis puellae,1890.7369470003,464.297736228117,-0.131484557464544,0.0608544529716879,-0.415053000402384,-0.0168210119954208,29,6.20876445526476,13,1.78448351263885,202
Calliopsis rhodophila,650.194841,504.008041433683,-0.0580925336195574,0.0305403979611177,0.262107302941499,-0.295818091136484,3,3,3,3,3
Calliopsis scutellaris,510.576774,432.747219603156,-0.0439718628825116,0.0258410299447054,0.262559946790191,-0.246053031481643,2,1.46340651446393,2,1.46340651446393,289
Calliopsis sonora,633.0153810003,488.729212137857,-0.055295589045886,0.0359274314775394,0.243686855239975,-0.25932699566493,3,2.77777777777778,3,2.77777777777778,5
Calliopsis subalpina,1094.3343460003,401.673160961158,-0.267169182205643,0.170050596086697,0.267476860536672,-0.264735169567462,7,1.09837172177879,7,1.09837172177879,347
Calliopsis verbenae,390.70254,390.70254,-0.0161877670549979,0.0260320231079939,0.219520746941908,-0.21417637437549,1,1,1,1,8
Calliopsis zebrata,390.70254,390.70254,-0.100178764243911,0.00437813217314311,0.438725461086079,0.445260029056259,1,1,1,1,1
Calliopsis zonalis,568.701385,401.776774478932,-0.039738142621491,0.0240761920627768,0.235027580591931,-0.16568708611593,3,1.13807315816589,3,1.13807315816589,47
Caupolicana electa,552.419671,429.830264771553,-0.053087016517147,0.033931581333117,0.277139385411833,-0.0158353613691306,4,2.90909090909091,2,1.28,8
Caupolicana floridana,390.70254,390.70254,-0.0399643605056391,0.0227080466503958,0.226777765101757,-0.161657015224129,1,1,1,1,1
Xenoglossa ipomoeae,847.514487,454.583535626938,-0.0320731427368586,0.0138815143304218,0.153042887749921,-0.219563572462134,7,3.55882352941177,5,1.81954887218045,22
Centris decolorata,408.136928,399.618666710484,-0.0400583107099938,0.0226293959591503,0.220647292987738,-0.218723082402832,2,2,1,1,2
Centris errans,1080.783918,500.219036226497,-0.0215356400685624,0.0235021742796952,0.109684104460162,-0.110493774936733,9,3.84615384615385,7,3.35820895522388,30
Centris lanosa,390.70254,390.70254,-0.0406564009662036,0.0228781200000951,0.221147634674878,-0.221300941271249,1,1,1,1,1
Centris mexicana,514.436777,454.704004346355,0.0231770159131932,-0.0182186415782347,0.438828551957429,0.449466223869102,2,1.8,2,1.8,3
Centris nitida,1591.500593,532.226997340846,0.0195660788959531,0.0342078391323526,0.17511532732821,0.347381330249085,16,14.2857142857143,10,7.40740740740741,20
Centris rhodopus,1027.199259,500.305581046776,-0.090517938049424,0.0576380978935676,0.0826301794558162,0.488673423057485,10,4.30081300813008,6,2.95530726256983,23
Ceratina acantha,5185.8267950035,522.692713817127,-0.000225529397950068,-0.0411824218215724,-0.244330118441958,-0.0899987313988554,95,12.0960341671751,34,4.70213256171689,833
Ceratina arizonensis,3135.448023,534.400553408622,-0.11328370326873,0.0849137994618496,-0.00605015007294794,-0.116747583989349,55,15.9135005724992,21,7.98876521920886,391
Ceratina calcarata,7394.58991699969,542.526026983831,0.219449833581751,-0.321658752764939,-0.116432703917368,0.0908462770173308,143,43.075596022523,52,7.63331422627009,848
