scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Perdita dubia,1010.0354989999998,477.9476885222587,0.01287963294956938,0.19467873627154197,-0.3831007441615065,-0.020866362113892204,12,4.507819687212511,6,2.399020807833537,140
Perdita duplonotata,1424.5660009999997,472.4828373319265,-0.10813577949812464,0.04917124336090226,0.24806782814441183,-0.27486246027381334,12,2.039542143600417,10,2.0321410057024365,280
Perdita electa,1009.9346490000001,435.3445132607991,0.036809538961271704,0.18795463267242846,-0.4235993262162188,0.013672254386393171,15,7.513914656771803,6,1.4578833693304536,90
Perdita exclamans,708.4056359999998,403.42528456132584,-0.12537749062756431,0.0672146711273378,0.40473461490085294,0.4544330590384337,7,1.1246656760772662,3,1.1103938971612997,174
Perdita festiva,646.8349169999998,395.56753197723253,-0.04054849552000663,0.04028057313857577,-0.43536422162763183,-0.016253340269727048,6,1.190538661349146,3,1.0146754305801746,825
Perdita floridensis,638.801334,443.83201726912614,-0.02674577802550602,4.5736003914630054e-4,0.23169345790946458,-0.23451408269443402,3,1.6900584795321638,3,1.6900584795321638,51
Perdita florissantella,1054.4301630000004,408.0279553531849,-0.07543327778899525,0.037180948660883485,0.2568482504555048,-0.2932755036928117,8,1.1911472291864789,8,1.1607413647851725,166
Perdita gerhardi,390.70253999999994,390.70253999999994,-0.03739531501022347,0.022137063520624937,0.25965136688413143,-0.2836802455369039,1,1,1,1,2
Perdita glabrescens,390.70253999999994,390.70253999999983,-0.044698011652886935,0.10442894746360135,0.21208335997747088,-0.2527804787987817,1,1,1,1,7
Perdita graenicheri,395.21997099999993,391.459171060223,0.03417500340739187,0.043570023582451725,-0.43531178525458747,-0.016750333397251477,3,1.6718367346938776,1,1,64
Perdita halictoides,661.8629950000002,427.079567782533,0.020881443566983217,0.04432575420693285,0.06079092470130841,-0.1805266181723643,5,1.4379811804961506,3,1.418565400843882,41
Perdita heterothecae,420.223144,395.88817926555635,0.02825606992687401,0.12663687238865276,-0.43531178525458747,-0.016750333397251467,4,2.0704225352112675,1,1,21
Perdita hippolyta,390.70253999999994,390.70253999999983,-0.05121188727590753,0.02751849257663817,0.3313657177398815,-0.26384144153648575,1,1,1,1,2
Perdita holoxantha,390.70253999999994,390.70253999999983,-0.04873775252640998,0.026589344867734666,0.2229929921252017,-0.22967204959220056,1,1,1,1,12
Perdita hooki,390.70253999999994,390.70253999999983,-0.05121188727590753,0.02751849257663817,0.3313657177398815,-0.26384144153648575,1,1,1,1,2
Perdita hurdi,604.187845,420.1732507552818,-0.04135142737241586,0.02379676658364328,0.22295268251671752,-0.22278384370954615,3,1.3424657534246576,3,1.3424657534246578,28
Perdita idonea,527.0872919999999,396.6168330214162,0.00992109252812645,0.15760754071881913,-0.43542216811568185,-0.016676939707780683,8,3.3926701570680633,2,1.028163427211424,72
Perdita ignota,487.130634,396.18508978431646,0.0032867297289577314,0.09953418871606323,-0.4353117852545875,-0.016750333397251474,7,1.5266955266955269,1,1,46
Perdita imbellis,738.320284,419.8178580283597,0.037645642768252115,0.1141154841105538,-0.42959073752416005,0.0012870070979053448,10,3.175824175824176,3,1.093144208037825,68
Perdita interrupta,522.38324,437.93438565494836,-0.06388409609693427,0.033992387567500955,-0.0405457879411802,-0.16711617026077344,2,1.4705882352941173,2,1.4705882352941173,5
Perdita jucunda,390.70253999999994,390.70253999999983,-0.044698011652886956,0.10442894746360136,0.21208335997747096,-0.2527804787987817,1,1,1,1,1
Perdita knowltoni,521.8326159999999,394.36529397263035,-0.006253141723814635,0.13778093427713095,-0.4353691723205927,-0.016709287833970847,6,2.597062423500612,2,1.0130287630101962,309
Perdita labergei,1225.2363119999993,461.7171286698447,-0.043322909121755473,0.04582641342118611,0.2173078858438919,-0.1597454740564366,9,1.985682468978683,9,1.985682468978683,79
Perdita layiae,390.70254,390.70254000000017,-0.043156382203951175,0.024257034866628075,-0.43531178525458747,-0.01675033339725149,1,1,1,1,33
Perdita lenis,757.2393320003002,411.6305605676376,-0.05406224286680255,0.025975279452369382,0.23270284770990687,-0.2287125392410743,5,1.3248199083169616,4,1.1875052410901468,119
Perdita lepidosparti,412.15131899999994,401.02221577591274,-0.008447197521081053,0.07719283131394297,-0.43531178525458747,-0.016750333397251477,2,1.8823529411764706,1,1,8
Perdita lingualis,390.70253999999994,390.70254,0.24976126554517825,0.24197186766138898,-0.43531178525458747,-0.016750333397251474,1,1,1,1,5
Perdita luteola,895.6715539999998,400.14377100901453,-0.013362527662575079,0.14505492001359607,-0.43359530812509856,-0.011619740725300861,11,2.9844559585492227,5,1.05771933801859,432
