scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Perdita optiva,34.059,-114.5935,16,45831721175.0756,4583172.11750756,TRUE,120.333333333333,122,105.8,134.2,28.4
Perdita ordinata,35.4,-110.321,7,251240943068.037,25124094.3068037,TRUE,232.2,233,208.4,255.6,47.2
Perdita oregonensis,42.09,-113.136,44,1013672587276.99,101367258.727699,TRUE,219.189189189189,225,167,255.4,88.4
Perdita oreophila,45.67,-118.684,1,2999158067.89931,299915.806789931,TRUE,174,174,174,174,0
Perdita ovaliceps,35.75,-115.014,15,210938590910.71,21093859.091071,TRUE,129.615384615385,108,83.2,226.4,143.2
Perdita pallida,33.432,-115.0535,30,202537384925.552,20253738.4925552,TRUE,123.16,120,109.4,139,29.6
Perdita pallidipes,33.619,-115.999,7,107346032669.272,10734603.2669272,TRUE,117.666666666667,108,100.5,144.5,44
Perdita pallidiventris,36.881,-120.795,1,8110841438.49887,811084.143849887,TRUE,158,158,158,158,0
Perdita panocheana,36.753,-120.0815,2,1660901879.20902,166090.187920902,TRUE,181,181,181,181,0
Perdita paroselae,33.907,-116.502,11,929952972.640404,92995.2972640404,TRUE,165.1,150.5,125.3,199.8,74.5
Perdita parryellae,35.311,-110.066,1,4599118640.44468,459911.864044468,TRUE,240,240,240,240,0
Perdita pectidis,32.206,-109.031,41,673771438211.195,67377143.8211195,TRUE,242.277777777778,239.5,227,266,39
Perdita pectoralis,36.79,-112.841,3,12570259731.0726,1257025.97310726,TRUE,269,269,269,269,0
Perdita peculiaris,30.944,-103.1605,4,14110522388.9121,1411052.23889121,TRUE,185.666666666667,214,125.2,234.8,109.6
Perdita pedernalensis,30.332,-98.256,7,1106146125.4656,110614.61254656,TRUE,126.571428571429,136,104.8,141.8,37
Perdita pelargoides,34.117,-117.499,25,46935525087.8527,4693552.50878527,TRUE,167.958333333333,166,153,186,33
Perdita percincta,36.092,-111.194,5,12731295348.5132,1273129.53485132,TRUE,240.6,242,235.6,244,8.40000000000001
Perdita perlucens,37.627,-118.992,1,3440677860.37747,344067.786037747,TRUE,218,218,218,218,0
Perdita perpallida,44.8575,-98.6775,42,1579920917365.69,157992091.736569,TRUE,206,206,192.9,225.3,32.4
Perdita perplexa,35.512,-107.843,4,73305467780.7822,7330546.77807822,TRUE,225.25,232,200.1,245,44.9
